#options: 1920x1200 fps=20/1 timebase=1/20 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2543 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:85 out:85 type:B dur:2 cpbdur:2 q:8.66 aq:6.43 tex:1700 mv:91 misc:537 imb:2 pmb:22 smb:8976 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:8.78 aq:2.43 tex:84 mv:119 misc:557 imb:0 pmb:43 smb:8957 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:8.54 aq:2.48 tex:608 mv:88 misc:528 imb:0 pmb:32 smb:8968 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:7.96 aq:2.82 tex:75133 mv:1285 misc:2798 imb:286 pmb:667 smb:8047 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:8.19 aq:0.77 tex:811 mv:136 misc:701 imb:0 pmb:174 smb:8826 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:8.31 aq:0.92 tex:681 mv:140 misc:667 imb:0 pmb:172 smb:8828 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:8.08 aq:0.90 tex:637 mv:6 misc:453 imb:0 pmb:6 smb:8994 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:7.52 aq:2.57 tex:45096 mv:214 misc:2226 imb:4 pmb:488 smb:8508 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:7.74 aq:0.71 tex:900 mv:36 misc:512 imb:0 pmb:10 smb:8990 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:7.85 aq:0.87 tex:758 mv:6 misc:460 imb:0 pmb:6 smb:8994 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:7.63 aq:0.79 tex:586 mv:6 misc:456 imb:0 pmb:6 smb:8994 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:7.12 aq:2.06 tex:21652 mv:195 misc:1977 imb:4 pmb:355 smb:8641 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:7.32 aq:0.00 tex:29 mv:42 misc:481 imb:0 pmb:7 smb:8993 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:7.42 aq:3.29 tex:470 mv:57 misc:473 imb:2 pmb:6 smb:8992 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:7.22 aq:3.29 tex:445 mv:20 misc:455 imb:2 pmb:0 smb:8998 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:8.51 aq:3.84 tex:61458 mv:1453 misc:1089 imb:438 pmb:92 smb:8470 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:7.81 aq:9.61 tex:12182 mv:247 misc:739 imb:3 pmb:188 smb:8809 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:7.46 aq:3.29 tex:131 mv:113 misc:572 imb:0 pmb:94 smb:8906 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:8.16 aq:3.79 tex:1162 mv:126 misc:608 imb:1 pmb:104 smb:8895 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:7.96 aq:1.87 tex:48149 mv:1066 misc:1209 imb:304 pmb:122 smb:8574 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:8.24 aq:3.33 tex:234 mv:117 misc:689 imb:0 pmb:142 smb:8858 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:8.37 aq:3.17 tex:117 mv:169 misc:658 imb:0 pmb:139 smb:8861 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:8.10 aq:3.79 tex:623 mv:15 misc:458 imb:1 pmb:2 smb:8997 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:7.61 aq:1.57 tex:11841 mv:488 misc:1343 imb:395 pmb:150 smb:8455 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:7.79 aq:2.87 tex:883 mv:145 misc:660 imb:1 pmb:71 smb:8928 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:7.88 aq:3.02 tex:145 mv:115 misc:620 imb:0 pmb:65 smb:8935 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:7.70 aq:0.00 tex:28 mv:44 misc:472 imb:0 pmb:7 smb:8993 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:7.26 aq:0.94 tex:753699 mv:5589 misc:2064 imb:1379 pmb:349 smb:7272 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:7.44 aq:0.14 tex:177 mv:135 misc:888 imb:0 pmb:225 smb:8775 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:7.52 aq:8.05 tex:584667 mv:8032 misc:1709 imb:296 pmb:750 smb:7954 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:7.35 aq:5.55 tex:603 mv:4 misc:465 imb:0 pmb:3 smb:8997 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:6.92 aq:0.72 tex:31615 mv:155 misc:2062 imb:0 pmb:432 smb:8568 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:7.09 aq:0.11 tex:83 mv:19 misc:482 imb:0 pmb:3 smb:8997 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:7.18 aq:5.55 tex:577 mv:2 misc:453 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:7.00 aq:5.55 tex:577 mv:2 misc:453 imb:0 pmb:2 smb:8998 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:6.61 aq:0.91 tex:87413 mv:1183 misc:2004 imb:270 pmb:361 smb:8369 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:6.53 aq:0.71 tex:505388 mv:2203 misc:2257 imb:350 pmb:450 smb:8200 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:6.47 aq:0.61 tex:165413 mv:1840 misc:2227 imb:387 pmb:408 smb:8205 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:6.50 aq:4.32 tex:61868 mv:1237 misc:751 imb:80 pmb:163 smb:8757 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:6.51 aq:6.58 tex:22141 mv:815 misc:700 imb:75 pmb:142 smb:8783 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:6.48 aq:0.66 tex:40058 mv:1343 misc:519 imb:101 pmb:84 smb:8815 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:6.15 aq:0.45 tex:529909 mv:3794 misc:2433 imb:380 pmb:604 smb:8016 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:6.31 aq:6.75 tex:12501 mv:428 misc:903 imb:9 pmb:230 smb:8761 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:6.39 aq:3.43 tex:121 mv:156 misc:683 imb:0 pmb:95 smb:8905 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:6.23 aq:7.51 tex:21444 mv:366 misc:654 imb:15 pmb:130 smb:8855 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:6.11 aq:0.46 tex:72650 mv:490 misc:2164 imb:44 pmb:431 smb:8525 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:6.13 aq:6.27 tex:25049 mv:194 misc:581 imb:9 pmb:60 smb:8931 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:6.14 aq:6.74 tex:17441 mv:33 misc:502 imb:0 pmb:56 smb:8944 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:6.12 aq:6.02 tex:17028 mv:133 misc:495 imb:9 pmb:43 smb:8948 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:6.03 aq:0.40 tex:52864 mv:347 misc:2101 imb:17 pmb:407 smb:8576 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:6.07 aq:6.27 tex:24871 mv:170 misc:527 imb:11 pmb:43 smb:8946 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:6.09 aq:7.46 tex:14224 mv:137 misc:479 imb:9 pmb:41 smb:8950 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:6.05 aq:6.71 tex:13428 mv:155 misc:497 imb:9 pmb:43 smb:8948 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:5.77 aq:0.19 tex:79592 mv:1069 misc:2315 imb:449 pmb:404 smb:8147 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:5.90 aq:3.43 tex:510 mv:173 misc:717 imb:2 pmb:89 smb:8909 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:5.96 aq:0.00 tex:60 mv:117 misc:639 imb:0 pmb:68 smb:8932 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:5.83 aq:0.00 tex:44 mv:82 misc:498 imb:0 pmb:23 smb:8977 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:5.72 aq:0.46 tex:16365 mv:173 misc:1950 imb:2 pmb:347 smb:8651 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:5.74 aq:1.80 tex:62 mv:25 misc:489 imb:0 pmb:4 smb:8996 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:5.76 aq:0.00 tex:16 mv:24 misc:464 imb:0 pmb:3 smb:8997 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:5.73 aq:4.09 tex:399 mv:11 misc:454 imb:1 pmb:1 smb:8998 d:- ref:0 ;
